"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewImages/11","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2022-06-14","true","198","B09LNFRHGN","5","My phone did come in a little late. Due to coke in Friday afternoon and came in Monday afternoon though I had paid extra! The phone itself GORGEOUS color !! Battery life 100% no scratches ! Thank you!","https://m.media-amazon.com/images/I/61vBj25lJGL._SY88.jpg","https://m.media-amazon.com/images/I/71ziNxZd-rL._SY88.jpg",,,,,,,,,,,"17 people found this helpful","Definitely recommend","https://www.amazon.com/gp/customer-reviews/R2O9QFU6MBM3OS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on June 14, 2022","Service Provider: UnlockedColor: PinkSize: 128GB"
"United States","🇺🇸","2022-10-01","true","199","B09LNFRHGN","5","Product as advertised by seller. Phone works well.","https://m.media-amazon.com/images/I/61vBj25lJGL._SY88.jpg","https://m.media-amazon.com/images/I/71ziNxZd-rL._SY88.jpg",,,,,,,,,,,"2 people found this helpful","Trustworthy seller","https://www.amazon.com/gp/customer-reviews/R3AWCUDR3N94XP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on October 1, 2022","Service Provider: UnlockedColor: MidnightSize: 256GB"
"United States","🇺🇸","2023-03-20","true","200","B09LNFRHGN","2","Speaker didn’t work had to return","https://m.media-amazon.com/images/I/61vBj25lJGL._SY88.jpg","https://m.media-amazon.com/images/I/71ziNxZd-rL._SY88.jpg",,,,,,,,,,,"","Bad speaker","https://www.amazon.com/gp/customer-reviews/R322O1HEMU8G6V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on March 20, 2023","Service Provider: UnlockedColor: MidnightSize: 256GB"
"United States","🇺🇸","2022-09-24","true","351","B09LNFRHGN","5","Was nervous to buy iphone online other than from apple or my tmobil store but glad I did! It was 100’s of dollars cheaper and it didnt make my bill go higher in which I was trying to avoid. I wanted to buy a phone straight out! This phone came in perfect condition and works amazing.",,,,,,,,,,,,,"","Perfect","https://www.amazon.com/gp/customer-reviews/R3PHVLIMAF4S06/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on September 24, 2022","Service Provider: UnlockedColor: BlueSize: 128GB"
"United States","🇺🇸","2023-02-21","true","352","B09LNFRHGN","5","Good cell phone",,,,,,,,,,,,,"","Good","https://www.amazon.com/gp/customer-reviews/R3KMTD365NYRDZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on February 21, 2023","Service Provider: UnlockedColor: BlueSize: 128GB"
"United States","🇺🇸","2023-03-26","true","353","B09LNFRHGN","5","The product shipped the same day and arrived quickly with Fedex two day air service.  My son is thrilled with his ""new"" iphone!",,,,,,,,,,,,,"","Perfect replacement","https://www.amazon.com/gp/customer-reviews/RZ4TJF7Y5HKW1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on March 26, 2023","Service Provider: UnlockedColor: MidnightSize: 128GB"
"Mexico","🇲🇽","2023-03-27","true","354","B09LNFRHGN","4","Me decepcionó algo en lo estético 8/10 trae dos golpes notorios en ambas esquinas del lado derecho algo molesto pero se pueden ocultar con una funda la pantalla trae una mica parece que tiene un raya tal vez no muy profunda pero ya no quiero quitar la protección y llevarme una decepción aún más grande esto en el tema negativo.Lo positivo que es lo que realmente me interesa y eso me evita hacer la devolución  es batería 100%  funcionamiento hasta el momento y es muy rápido (unas horas de haber recibido el dispositivo) para poder decir lo contrario es óptimo ,capacidad almacenamiento el correcto aplicaciones y hardware  funcionamiento bien.Se que es el riesgo que se corre al adquirir productos reacondicionados pero en gral estoy de acuerdo con lo que recibí. Haré actualización del producto más adelante con el uso del mismo.",,,,,,,,,,,,,"One person found this helpful","Esperaba un poco más",,"Reviewed in Mexico 🇲🇽 on March 27, 2023","Service Provider: UnlockedColor: PinkSize: 128GB"
"Mexico","🇲🇽","2023-03-30","true","355","B09LNFRHGN","5","La verdad tenía mucho miedo de comprarlo y que viniera malo, pero todo lo contrario, la batería viene con 99% de salud, sin ningún rayón ni falla aparente. Aparte me convenció que tiene 90 días de garantía, por lo cual si llega a fallar lo puedes devolver sin problema.",,,,,,,,,,,,,"","Excelente compra, como nuevo!!!",,"Reviewed in Mexico 🇲🇽 on March 30, 2023","Service Provider: UnlockedColor: GreenSize: 128GB"
"Mexico","🇲🇽","2023-03-30","true","356","B09LNFRHGN","5","Excelente compra la verdad tenía miedo de que no llegara lo que esperaba, pero el celular me llego con el 100% de batería no me arrepiento y lo recomiendo",,,,,,,,,,,,,"","Excelente",,"Reviewed in Mexico 🇲🇽 on March 30, 2023","Service Provider: UnlockedColor: GreenSize: 128GB"
"Mexico","🇲🇽","2023-04-10","true","357","B09LNFRHGN","5","La verdad me sorprendio ya que parece nuevo ademas la bateria me llego del 100%El precio lo agarr en 13K que sinceramente me sigue sorpendiendo que si parece nuevo y me quedo muy satisfecho con la compra",,,,,,,,,,,,,"","Al chile comprenlo",,"Reviewed in Mexico 🇲🇽 on April 10, 2023","Service Provider: UnlockedColor: RedSize: 128GB"
